词,频次,主题,例句
哦,25,情感与互动,2024春晚小品押题《三胎》: 你俩可不一定八十哦; 无偿送给今年的春晚导演组: 哦，都要生了你看不出来是吗？
真实,25,春晚内容相关,2024春晚小品押题《三胎》: 目前看过最真实的; 8秒看完2025年春晚: xsl太真实了
点,25,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看不搞笑的，能不能给看点帅哥美女，这大丑逼上来是干嘛呢; 2024春晚小品押题《三胎》: 升华点题了
时间,24,年度与时间,papi酱的春晚预测: 时间飞shi; 【旧曲新歌奥密克戎】2022春晚押题相声: 留给押题的时间不多了
太对,24,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 太对为了让; 无偿送给今年的春晚导演组: 太对了太对味了
up,24,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 谢谢up，已经瞎了; 【旧曲新歌奥密克戎】2022春晚押题相声: up有才
出生,24,其他,2024春晚小品押题《三胎》: 孩子：我选择不出生; 2024春晚小品押题《三胎》: 出生剧情
不了,24,情感与互动,papi酱的春晚预测: 自己去不了，酸别人; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 应该是代表不了尔滨的
里,24,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 我们这里疫情防控上网课有没有一样的？; papi酱的春晚预测: 哈哈哈哈哈哈里p
起来,24,情感与互动,求求各位，不要再押题春晚小品了……: 根本想不起来去年都演啥破玩意了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 哦，一个是指一块锅包肉，就是一份锅包肉68，然后呢，本来的意思是所有的菜一共加起来68
一块,24,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 没懂一块儿68和一块儿68有啥区别; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一个说的全部菜总共68 一个以为是一块肉68
68,24,年度与时间,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜所有菜加一起68; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 所有菜加一起68不贵啊
禹宙中欣,24,其他,我想看这样的春晚: 啊啊啊啊啊禹宙中欣！; 我想看这样的春晚: 啊啊啊啊！禹宙中欣粉狂喜！！！
搞笑,23,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 看不搞笑的，能不能给看点帅哥美女，这大丑逼上来是干嘛呢; 《2025年蛇年春晚烂梗小品精选》: 春晚没这么搞笑
靠,23,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 我靠真的要笑死啊; 无偿送给今年的春晚导演组: 绝了我靠
呗,23,其他,无偿送给今年的春晚导演组: 没意义不结呗; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 意思就是三个菜一共68呗
20,23,年度与时间,papi酱的春晚预测: 好想董卿，2023年我回顾这个视频就是听这一句董青谁懂; papi酱的春晚预测: 2024来回顾 时间过得真快
12,23,年度与时间,二进制小品: 感觉比流量明星的12345还有感情; papi酱的春晚预测: 20230121非常新鲜
菜,23,吐槽与负面情绪,无偿送给今年的春晚导演组: 吃预制菜; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一桌菜一共68，和锅包肉一个68
大学生,23,其他,你觉得今年春晚最有可能出现哪些梗？: 清澈愚蠢的大学生; 你觉得今年春晚最有可能出现哪些梗？: 大学生，啊大啊大学生，一天一百块的大学生
非洲,23,其他,无偿送给今年的春晚导演组: 我一年都在非洲; 无偿送给今年的春晚导演组: 非洲务工一年&怀孕
结尾,22,春晚内容相关,2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 结尾升华主题，启动！
天,22,年度与时间,《2025年蛇年春晚烂梗小品精选》: 天天说，我一个28岁的广东佬就没看过春晚; papi酱的春晚预测: 天天天这一段像极了零几年的周涛老师和郭冬临老师的小品！！
竟然,22,吐槽与负面情绪,2024春晚小品押题《三胎》: 救命，这个竟然有点好笑。; 二进制小品: 我竟然能看懂他要说的是啥
太对味,22,情感与互动,2024春晚小品押题《三胎》: 太对味了; 2024春晚小品押题《三胎》: 太对味儿了
老人,22,春晚内容相关,2024春晚小品押题《三胎》: 不是，老人就不能有一点自我独立能力吗; 无偿送给今年的春晚导演组: 全家福，但没老人
一样,22,春晚内容相关,有烂梗的春晚才叫过年呐: 跟戒毒一样; 《2025年蛇年春晚烂梗小品精选》: 很好，感觉是一样的
这些,22,其他,2024春晚小品押题《三胎》: 不会很重啊，到时候你们这些老的都四了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 哪吒梗，傻根梗，有几个人知道这些啊
邻居,22,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 其他邻居：阿米诺斯; 求求各位，不要再押题春晚小品了……: 我觉得邻居吵架比这有意思
记得,22,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 记得饺子馅得是转基因的; 求求各位，不要再押题春晚小品了……: 我还真不记得，就记得只此青绿
赶上,22,情感与互动,8秒看完2025年春晚: 赶上了日本排放核污染水; 8秒看完2025年春晚: 95后除了三鹿奶粉没赶上别的都赶上了哈哈哈哈哈
2025,22,年度与时间,8秒看完2025年春晚: 省流：并非2025; papi酱的春晚预测: 2025来了
2022,22,年度与时间,papi酱的春晚预测: Papi隔空押中了2022年贾玲张小斐的选题; papi酱的春晚预测: 2022跨年之际前来考古！
奶龙,22,其他,《2025年蛇年春晚烂梗小品精选》: 柜子上奶龙; 有烂梗的春晚才叫过年呐: 有奶龙
杂技,22,春晚内容相关,我想看这样的春晚: 哈哈哈，成毅表演杂技; 我想看这样的春晚: 成毅来个杂技！！！哈哈哈哈哈哈哈哈
好事,22,情感与互动,求求各位，不要再押题春晚小品了……: 还有这好事; 求求各位，不要再押题春晚小品了……: 没小品是好事
其实,21,其他,2024春晚小品押题《三胎》: 其实是个大棉袄; 有烂梗的春晚才叫过年呐: 都不知道的看来是不怎么上网啊，其实也好（）
新,21,年度与时间,二进制小品: 新时代样板戏; 无偿送给今年的春晚导演组: 创新性太强了
出音味,21,春晚内容相关,2024春晚小品押题《三胎》: 《出音味来》; 2024春晚小品押题《三胎》: 出音味来
两个,21,其他,2024春晚小品押题《三胎》: 好家伙我还以为一个没生的催呢，生了两个还催。。; 二进制小品: 完了不认识饺子这两个字了
坏,21,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 坏了，这是真看过春晚（; 【旧曲新歌奥密克戎】2022春晚押题相声: 礼  崩  乐  坏
一集,21,春晚内容相关,2024春晚小品押题《三胎》: 算术最好的一集; 8秒看完2025年春晚: 最真实的一集
谢谢,21,情感与互动,2024春晚小品押题《三胎》: 谢谢，已经听红温了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 谢谢作者没把这几个小品完整的音频放出来我就个赞
逼,21,吐槽与负面情绪,2024春晚小品押题《三胎》: 牛逼; papi酱的春晚预测: 2024春晚来的！papi真的牛逼啊
强行,21,吐槽与负面情绪,2024春晚小品押题《三胎》: 强行煽情; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 太强行了，文字梗
不要,21,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 这个签，不要联想; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 拉石可以，不要让我赤石
呃,21,情感与互动,2024春晚小品押题《三胎》: 呃呃; 2024春晚小品押题《三胎》: 呃呃呃呃呃呃呃呃呃呃
艺术,21,春晚内容相关,2024春晚小品押题《三胎》: 至此，已成艺术; 无偿送给今年的春晚导演组: 至此，已成艺术
预测,21,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 预测今年春晚; 无偿送给今年的春晚导演组: 没空看，预测这玩意干啥
出,21,春晚内容相关,我想看这样的春晚: 九月也出来了，王妈真看; 2024春晚小品押题《三胎》: 出生剧情
唱歌,21,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我就觉得许嵩的还不错，别的还是算了吧，有几个服化道糟糕得，都不知道唱歌的站在哪了; 我想看这样的春晚: 不要让演员唱歌啊！
三小只,21,明星与节目,我想看这样的春晚: 吗呀多少年没有看到熟悉的三小只这几个字了…; 我想看这样的春晚: 三小只做一桌啊哈哈哈哈哈哈哈哈
盲猜,20,其他,2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜所有菜加一起68
发现,20,春晚内容相关,2024春晚小品押题《三胎》: 最后发现是真怀; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 突然发现这几个眼睛都好小哈哈哈
演技,20,明星与节目,2024春晚小品押题《三胎》: up演技真不错; 有烂梗的春晚才叫过年呐: 经典池沼演技
这句,20,春晚内容相关,2024春晚小品押题《三胎》: 就这句话就给我干的眉头紧皱了; 你觉得今年春晚最有可能出现哪些梗？: 我不录了，这句没灵魂，差评！
么,20,其他,《2025年蛇年春晚烂梗小品精选》: 你俩怎么要宝宝; 2024春晚小品押题《三胎》: 为了什么啊？
漫长,20,情感与互动,2024春晚小品押题《三胎》: 3分钟像十分钟一样漫长; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好漫长的20分钟，感觉已经过了一年了
孙涛,20,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孙涛 王宝强; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孙涛小品就爱整这出
请,20,情感与互动,有烂梗的春晚才叫过年呐: 又来了，怕不是请郭冬临演的龟; 二进制小品: 《剧情演绎，请勿饺子》
刷,20,吐槽与负面情绪,有烂梗的春晚才叫过年呐: 这就去刷好评; 你觉得今年春晚最有可能出现哪些梗？: 昨晚刚n刷赵本山小品
有人,19,其他,2025春晚小品预测，这届网友太有才了: 还有人看?
不生,19,其他,2024春晚小品押题《三胎》: 不生不就没负担了吗
必须,19,其他,2024春晚小品押题《三胎》: 笑拥还是太新了，必须再老一点尬一点（
煽情,19,情感与互动,2024春晚小品押题《三胎》: 煽情の小曲儿
照顾,19,情感与互动,2024春晚小品押题《三胎》: 能不能活这么久先不提，培养需要时间有一方不工作照顾家就会少一分钱
带,19,其他,无偿送给今年的春晚导演组: 带货风向不太对，现在要搞实体经济
细节,19,春晚内容相关,2024春晚小品押题《三胎》: 细节掌声
味,19,春晚内容相关,2024春晚小品押题《三胎》: 汗流浃背了 味儿太冲了
意义,19,春晚主题,2024春晚小品押题《三胎》: 孩子：我生出来的意义就是为了照顾你六个呗？
初生,19,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 孩子名我都想好了，叫初生
意思,19,其他,求求各位，不要再押题春晚小品了……: 不好意思，其实多少年都没看了，当背景音都嫌扰民
内味,19,吐槽与负面情绪,2024春晚小品押题《三胎》: 太有内味儿了
原来,19,其他,2024春晚小品押题《三胎》: 原来孩子是婆婆的逆天
离谱,19,吐槽与负面情绪,2024春晚小品押题《三胎》: 离谱
草,19,吐槽与负面情绪,无偿送给今年的春晚导演组: 握草
春节,19,年度与时间,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 春节导演看了之后紧急重新排练
打,19,其他,papi酱的春晚预测: 2023年来打卡，刚解封不久
跟,19,其他,求求各位，不要再押题春晚小品了……: 不包饺子了，又跟夫妻关系杠上了
美,19,春晚内容相关,2025年春晚押题小品之《再见老登》: 中美澳韩合拍
时代,19,年度与时间,2025春晚小品预测，这届网友太有才了: 辛辛向熔的辛时代
水枪,19,其他,8秒看完2025年春晚: 开除水枪策划
嫂子,19,其他,二进制小品: 最后嫂子
对唱,19,明星与节目,我想看这样的春晚: 哈哈哈哈 我要看情歌对唱
大家,18,情感与互动,2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子
肯定,18,情感与互动,2024春晚小品押题《三胎》: 最后肯定是真有了
岁,18,年度与时间,2024春晚小品押题《三胎》: 省流：18岁生三胎
2,18,年度与时间,papi酱的春晚预测: 24年papi真和蔡明老师联动了hhhhh
起,18,春晚内容相关,求求各位，不要再押题春晚小品了……: 那更好了，大家伙儿忙起来
味儿太冲,18,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 味儿太冲了
80,18,年度与时间,2024春晚小品押题《三胎》: 不一定能活到80哦
男,18,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 撩头男：真受罪
生活,18,春晚内容相关,2024春晚小品押题《三胎》: 就现在的生活压力，你凭什么觉得自己一定能活到80?
根本,18,其他,2024春晚小品押题《三胎》: 典，根本没有男人
手机,18,其他,2024春晚小品押题《三胎》: 老人地铁手机
杀,18,其他,有烂梗的春晚才叫过年呐: 斩杀线了
摄影师,18,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 摄影师：好了！我还要回家包饺砸！
回家,18,春晚主题,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 摄影师：好了！我还要回家包饺砸！
不看,18,吐槽与负面情绪,2025春晚小品预测，这届网友太有才了: 好多年没看过了，久到记不清是什么时候不看的，，，
认识,18,情感与互动,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我已经不认识饺子两字了
岳云鹏,18,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 岳云鹏实锤
成毅,18,明星与节目,我想看这样的春晚: 别的没笑，成毅演杂技给我笑喷了（吃饭ing）
绝,17,春晚内容相关,我想看这样的春晚: 二上春山绝对看！
养,17,其他,2024春晚小品押题《三胎》: 把养孩子的钱留下来养老不也减轻负担嘛
30,17,年度与时间,2024春晚小品押题《三胎》: 我妈28才生的我。。30生二胎了？？？
妈,17,情感与互动,《2025年蛇年春晚烂梗小品精选》: 等等，左下角怎么小头爸爸和胡图图妈妈在一起啊
卷,17,吐槽与负面情绪,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 是2025春晚押题卷才对
上班,17,其他,2024春晚小品押题《三胎》: 大年三十不是在上班吗
电视,17,春晚内容相关,《2025年蛇年春晚烂梗小品精选》: 电视机画面离谱
东西,17,其他,2024春晚小品押题《三胎》: 又不是没得看了谁会看这些东西
全,17,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 一个说的全部菜总共68 一个以为是一块肉68
预制,17,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 年夜饭？预制菜
冯巩,17,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 冯巩
开除,17,其他,8秒看完2025年春晚: 开除水枪
高,17,其他,papi酱的春晚预测: 等会，谁能提醒我一下 高尔基是什么梗来着
王,17,明星与节目,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 长得好像王心凌
汪苏泷,17,明星与节目,我想看这样的春晚: 汪苏泷！！
哪,16,其他,二进制小品: 春晚的哪一个作品来着？忘了，太像了。
太有,16,情感与互动,2024春晚小品押题《三胎》: 太有内味儿了
不到,16,吐槽与负面情绪,2024春晚小品押题《三胎》: 如果节目达不到这个程度怎办
释怀,16,情感与互动,无偿送给今年的春晚导演组: 突然释怀的笑
开心,16,情感与互动,求求各位，不要再押题春晚小品了……: 还不如就把这些都用上，观众看个开心，反而不尬了
嘛,16,情感与互动,2025春晚小品预测，这届网友太有才了: 行啊，搞嘛，直接喷到不看就行
走,16,春晚内容相关,"你觉得今年春晚最有可能出现哪些梗？: 好无聊啊,走了"
行,16,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 迪迦可还行？
见,16,情感与互动,2024春晚小品押题《三胎》: 哎呦我靠日语生看见哈基米PTSD（）
11,16,年度与时间,二进制小品: 101010110
烂,16,吐槽与负面情绪,2024春晚小品押题《三胎》: 喜欢玩烂梗？
毁,16,吐槽与负面情绪,8秒看完2025年春晚: 省流：毁了
适用,16,其他,papi酱的春晚预测: 到2023年也适用
完全,16,其他,papi酱的春晚预测: 完全压中
作品,16,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁有过作品吗
斩杀,15,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 到斩杀线了
最好,15,情感与互动,2024春晚小品押题《三胎》: 算术最好的一集
前面,15,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 前面的，抄袭的算不错吗？
上来,15,春晚内容相关,2024春晚小品押题《三胎》: 光是看标题，我的血压就已经上来了。
哎,15,情感与互动,papi酱的春晚预测: 哎呀一转眼怎么都2023辣
后面,15,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 后面不搞笑了。台词没有那么有意思
问题,15,其他,2024春晚小品押题《三胎》: 那么问题来了，三胎该叫啥名？
无聊,15,吐槽与负面情绪,"你觉得今年春晚最有可能出现哪些梗？: 好无聊啊,走了"
明白,15,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这里小品的作者没表达明白。他们穿的是海魂衫，估计他想表达因为军恋才导致感情不太好，军嫂确实不容易，因为海军长年在外执行任务
厉害,15,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀国外厉害的很多，一个人让上千人的场子笑翻天也没问题，国内强的确实少点
女,15,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这女的长的有点怪
马上,15,年度与时间,papi酱的春晚预测: 马上2023年春晚了
全是,15,吐槽与负面情绪,二进制小品: 全是感情
要是,15,其他,2024春晚小品押题《三胎》: 这要是和一家人看到这我真汗流浃背了
精彩,15,春晚内容相关,2024春晚小品押题《三胎》: 哈哈哈哈哈哈 精彩
难,15,吐槽与负面情绪,2024春晚小品押题《三胎》: 难道他真的是天才
一遍,15,春晚内容相关,papi酱的春晚预测: 2023年再来一遍
子,15,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这里一嗓子还真有点感动了
除了,15,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 除了争吵 没别的
每年,15,年度与时间,无偿送给今年的春晚导演组: 每年最喜欢的节目
反正,15,其他,求求各位，不要再押题春晚小品了……: 这么一说我更想看押题了 反正春晚一定会有小品
蒸蒸日上,15,春晚主题,有烂梗的春晚才叫过年呐: 蒸蒸日上
这辈子,15,年度与时间,《2025年蛇年春晚烂梗小品精选》: 全听懂的这辈子有了
图,15,其他,2024春晚小品押题《三胎》: 考研英语一图画作文：《养老踢皮球》
蔡,15,明星与节目,2024春晚小品押题《三胎》: 老三叫蔡明
因年,15,年度与时间,papi酱的春晚预测: 只因年！要文明
papi,15,其他,papi酱的春晚预测: 24年papi真和蔡明老师联动了hhhhh
基尼,15,春晚内容相关,papi酱的春晚预测: 基尼太没
答辩,15,其他,无偿送给今年的春晚导演组: 什么答辩梗
呜呜,15,情感与互动,我想看这样的春晚: 还有人记得我们三小只，呜呜呜
看不懂,15,吐槽与负面情绪,二进制小品: 看不懂
秘书,15,其他,【旧曲新歌奥密克戎】2022春晚押题相声: 王秘书呢
一桌,15,春晚内容相关,我想看这样的春晚: 支持安欣强子一桌！！！
喜剧,15,春晚内容相关,你觉得今年春晚最有可能出现哪些梗？: 嘴难演的是喜剧，支持灵灵
最尬,15,吐槽与负面情绪,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 没有最尬只有更尬
音乐,14,春晚内容相关,2024春晚小品押题《三胎》: 音乐一出蚌埠住了
家,14,春晚主题,我想看这样的春晚: 在搞笑视频里刷你家哥哥名字，只会让路人更讨厌你家哥哥
真有,14,情感与互动,2025春晚小品预测，这届网友太有才了: 还真有人看春晚？
编剧,14,春晚内容相关,求求各位，不要再押题春晚小品了……: 编剧：今年反其道而行之，把押题的全用上，反向押题
够,14,吐槽与负面情绪,无偿送给今年的春晚导演组: 够抽象，够春晚
催婚,14,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 中心主题：催婚催生，不能偏离主题
秒,14,年度与时间,8秒看完2025年春晚: 前八秒是2025春晚后面的是别的内容
分钟,14,年度与时间,求求各位，不要再押题春晚小品了……: 有点像我十分钟写出来的作文
前,14,年度与时间,二进制小品: 2025年一月前来报到
艹,14,吐槽与负面情绪,2024春晚小品押题《三胎》: 艹
猜,14,情感与互动,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 盲猜是全都加起来68
出现,14,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 定场诗要出现了！
找,14,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 对味了，找一个更惨的来安慰你，让你感觉还能活
别的,14,其他,求求各位，不要再押题春晚小品了……: 不是他抄段子，可以抄别的博主的呀，跟别的博主说一声，就拿来用了呀
老板,14,其他,《2025年蛇年春晚烂梗小品精选》: 谢老板今年会不会上春晚
剧本,14,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 好蠢啊，谁写的剧本
24,14,年度与时间,papi酱的春晚预测: 可以出2024年的了
开,14,春晚内容相关,二进制小品: 开始上价值了
属于,14,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 春晚的最后一道防线了属于是
留,14,春晚内容相关,无偿送给今年的春晚导演组: 留着那晚当春晚看
小土豆,14,其他,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 现在到处都是小土豆，很烦
[,14,春晚内容相关,有烂梗的春晚才叫过年呐: 感觉不如那艺娜的贝如塔[狗头]
],14,其他,有烂梗的春晚才叫过年呐: 感觉不如那艺娜的贝如塔[狗头]
美好,14,春晚主题,2025春晚小品预测，这届网友太有才了: 欣欣向荣？美好生活？
语言,14,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 斗胆申请24年可别准备语言类节目了，唱4个小时歌挺好
打卡,14,情感与互动,papi酱的春晚预测: 2020/12/31前来打卡！
报道,14,春晚内容相关,papi酱的春晚预测: 2023年报道！！
17,14,年度与时间,papi酱的春晚预测: 2023春晚你好 ，还和2017春晚一样没啥变化
徐坤,14,明星与节目,papi酱的春晚预测: 现在想起来该请徐坤了
头,14,其他,《2025年蛇年春晚烂梗小品精选》: 看得我拳头硬了
爸爸,14,其他,《2025年蛇年春晚烂梗小品精选》: 左下角樱桃小丸子，小头爸爸和张小丽
大鼓,14,春晚内容相关,【旧曲新歌奥密克戎】2022春晚押题相声: 上次听这么离谱的京东大鼓还是在上次
抄,14,吐槽与负面情绪,【旧曲新歌奥密克戎】2022春晚押题相声: 春晚：坏了，我成抄作业的了
｛,14,其他,二进制小品: ｛他俩可xxxx了｝
｝,14,其他,二进制小品: ｛他俩可xxxx了｝
一看,14,情感与互动,求求各位，不要再押题春晚小品了……: 一看一个不吱声
情歌,14,明星与节目,我想看这样的春晚: 情歌对唱赶快给我安排
吱声,14,情感与互动,求求各位，不要再押题春晚小品了……: 这《初见照相馆》，你就看吧，一看一个不吱声
三国,14,其他,有烂梗的春晚才叫过年呐: 玩三国杀玩的（
活,13,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 私房钱这种事情居然今时今日还存在，这应该是生活水平不高导致的
一直,13,年度与时间,无偿送给今年的春晚导演组: 《我一直在查师父的命案》
血压,13,其他,2024春晚小品押题《三胎》: 光是看标题，我的血压就已经上来了。
3,13,年度与时间,二进制小品: 1145万播放23333
音,13,春晚内容相关,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 小土豆的儿化音过于标准
升华,13,春晚主题,《2025年蛇年春晚烂梗小品精选》: 强行升华
养不起,13,吐槽与负面情绪,2024春晚小品押题《三胎》: 《咱家又不是养不起》
算,13,其他,有烂梗的春晚才叫过年呐: 7.踢着我算你踢到棉花了（形容不和别人计较）
早,13,年度与时间,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 去年这会儿我早喝大了，怪不得没印象
话,13,春晚内容相关,我想看这样的春晚: 小品的话把喜剧大赛的导演和演员给请夹
催生,13,吐槽与负面情绪,无偿送给今年的春晚导演组: 催婚催生可太真了
遥遥领先,13,明星与节目,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 神了！果然遥遥领先
二,13,其他,我想看这样的春晚: 你如果二上春山，将会成为有史以来收视率最高的春晚。
不用,13,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 《春晚之猜都不用猜》
下,13,其他,无偿送给今年的春晚导演组: 等一下老公不是去非洲一年了吗
四个,13,春晚内容相关,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀演员确实不重颜值，可也不用挑四个最丑的吧
有没有,13,情感与互动,求求各位，不要再押题春晚小品了……: 有没有无所谓 反正我也不看
嘞,13,春晚内容相关,我想看这样的春晚: 我嘞个甄嬛传啊
拍,13,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 这时摄影师说:拍的再好不如回家多教教爸妈用智能手机学会视频 让他们也搭上互联网的快车
表情,13,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 唐完表情
看看,13,情感与互动,求求各位，不要再押题春晚小品了……: 我倒要看看初见照相馆 2
初见,13,情感与互动,求求各位，不要再押题春晚小品了……: 我倒要看看初见照相馆 2
饭,13,其他,2025春晚小品预测，这届网友太有才了: 给的不够一顿饭，编的又没人家演的有意思
郭冬临,13,明星与节目,有烂梗的春晚才叫过年呐: 又来了，怕不是请郭冬临演的龟
长,13,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 长得好像王心凌
别人,13,其他,求求各位，不要再押题春晚小品了……: 这个小品是旧的剧本，别人演过的，不是临时编的
核心,13,春晚内容相关,2025春晚小品预测，这届网友太有才了: 如果核心还是要教育民众，那就有可能是
爱,13,情感与互动,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 人见人爱？别代表我，我很反感。
投币,13,春晚内容相关,我想看这样的春晚: 卧槽了说到家鱼家丁我必须投币了啊啊啊啊啊啊
过来,13,情感与互动,我想看这样的春晚: 看不过来了看不过来了，哈哈哈
听不懂,13,吐槽与负面情绪,《2025年蛇年春晚烂梗小品精选》: 好几个听不懂我感觉我有救了
海魂衫,13,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 海魂衫吗，很怀旧
许嵩,13,明星与节目,我想看这样的春晚: 许嵩！！！
单依纯,13,明星与节目,我想看这样的春晚: 单依纯有品！
18,12,年度与时间,2024春晚小品押题《三胎》: 省流：18岁生三胎
三室一厅,12,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我看到这里都替演员尴尬地抠出三室一厅
基米,12,其他,2024春晚小品押题《三胎》: 有没有可能三个孩子哈基米
事,12,其他,无偿送给今年的春晚导演组: 没事，都撒那么多币了，不缺你一个人
科目,12,其他,求求各位，不要再押题春晚小品了……: 那今年还得有科目三
蔡明,12,明星与节目,papi酱的春晚预测: 穿越回来，和蔡明老师拍了一期视频了
更好,12,情感与互动,求求各位，不要再押题春晚小品了……: 那更好了，大家伙儿忙起来
绷住,12,情感与互动,有烂梗的春晚才叫过年呐: 到这没绷住
脚趾,12,其他,史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 脱口秀是真的脚趾抠地
